Insurance Type,Zip code,First name,Last name,Date of birth,Gender,Address,City,State,Auto insurance coverage?,Property Type,# units,# unrelated roommates,# property losses in last 3 years,Phone number,Email address,Fire Sprinkler System?,Central Fire & Burglar Alarm?,Local Fire / Smoke Alarm?,Home Security?,Non Smoking Household?,Local Burglar Alarm?,Unusual hazards?,Dogs that bite?,Run a business from home?,Start date,Personal property worth,Loss of use,Medical payments,Personal liability,Farmers Identity Protection,Deductible,Policy number,Timestamp (seconds),Policy price,Name of agent,Address of agent,price,annual_price,agent_name,agent_address,agent_phone_number,quote_number
Renters,95134,Alexander,Matthews,03/27/1987,f,150 Alicante Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 885-0333,amelia@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,1234,Tues,34.20,John Ag,Mtv,$18.84,$226.04,Brittany Leonard,"San Jose, CA",(408) 281-3220,#77530759
Renters,95051,Natalie,Turner,04/05/1990,f,3500 Granada Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(855) 802-6683,elise.parks@gmail.com,N,N,N,N,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,1234,Sat,41.55,John Ag,Cupertino,$18.27,$219.25,James Miao,"San Leandro, CA",(510) 357-8080,#70709546
Renters,95112,Owen,Clark,11/12/1990,m,1700 N 1st St,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(510) 758-6874,jonah.bauer@gmail.com,N,N,N,N,N,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,1234,Mon,44.41,John Ag,Redwood City,$21.76,$261.17,Timothy Shannon,"Pasadena, CA",(800) 999-5729,#80797476
Renters,94086,Aaron,Hughes,12/1/1988,m,655 S Fair Oaks Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 956-8858,amelia@aol.com,N,N,N,Y,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,5678,Tues,27.74,Martha Ag,Redwood City,$17.89,$214.73,Andrew Chavez,"Los Angeles, CA",(310) 881-2770,#43725243
Renters,95126,Arianna,Boyd,12/1/1988,m,950 Meridian Ave,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(707) 584-0655,jonah.bauer@gmail.com,N,N,N,Y,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,5678,Sat,17.71,Martha Ag,Mtv,$22.17,$266.06,Tyler Carlin,"Orangevale, CA",(916) 988-5525,#10609070
Renters,95035,Luke,Little,11/12/1990,f,555 S Park Victoria Dr,Milpitas,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 440-0550,nicholas.watkins@gmail.com,N,N,Y,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,5678,Tues,28.22,Patricia Ag,Redwood City,$18.46,$221.52,Jessie Jin,"Fremont, CA",(510) 338-4661,#13351645
Renters,95008,Rhys,Gordon,02/04/1989,m,2275 S Bascom Ave,Campbell,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(619) 583-8084,amelia@aol.com,N,N,Y,N,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,91011,Mon,38.30,Martha Ag,Redwood City,$22.89,$274.73,Thu Nguyen,"San Jose, CA",(408) 258-8388,#71368910
Renters,95134,Jasper,Strickland,06/06/1986,f,4343 Renaissance Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(866) 932-5588,elise.parks@gmail.com,N,N,Y,N,N,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,5678,Mon,39.18,John Ag,Cupertino,$18.26,$219.12,Scott Flanigan,"San Jose, CA",(408) 234-1390,#47126005
Renters,95051,Felicity,Baker,07/31/1988,m,1901 Halford Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(831) 240-0589,elise.parks@gmail.com,N,N,Y,Y,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,91011,Mon,34.52,Patricia Ag,Mtv,$17.33,$207.95,Jianmei Quitt,"San Diego, CA",(858) 605-5780,#39415771
Renters,95128,Phoebe,Kim,04/05/1990,f,500 S Winchester Blvd,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 626-3100,hadley.gardner@hotmail.com,N,N,Y,Y,N,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,1234,Mon,19.27,Patricia Ag,Cupertino,$23.36,$280.34,Oliver Huang,"San Jose, CA",(510) 493-6538,#65524078
