Insurance Type,Zip code,First name,Last name,Date of birth,Gender,Address,City,State,Auto insurance coverage?,Property Type,# units,# unrelated roommates,# property losses in last 3 years,Phone number,Email address,Fire Sprinkler System?,Central Fire & Burglar Alarm?,Local Fire / Smoke Alarm?,Home Security?,Non Smoking Household?,Local Burglar Alarm?,Unusual hazards?,Dogs that bite?,Run a business from home?,Start date,Personal property worth,Loss of use,Medical payments,Personal liability,Farmers Identity Protection,Deductible,Policy number,Timestamp (seconds),Policy price,Name of agent,Address of agent,price,annual_price,agent_name,agent_address,agent_phone_number,quote_number
Renters,95054,Charlotte,Townsend,07/31/1988,f,550 Moreland Way,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(650) 359-1757,nicholas.watkins@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,1234,Tues,26.88,John Ag,Cupertino,$24.25,$291.04,Stephen Larson,"Sacramento, CA",(916) 428-4520,#51503704
Renters,95008,Graham,Fischer,07/31/1988,m,200 Hollis Ave,Campbell,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(619) 427-0190,jonah.bauer@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,1234,Mon,34.95,John Ag,Cupertino,$21.93,$263.17,Randall Talley,"Campbell, CA",(408) 879-7455,#90510622
Renters,95134,Sadie,Norris,04/05/1990,m,4343 Renaissance Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(650) 344-2510,sophie.garner@hotmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,1234,Mon,27.74,Martha Ag,Cupertino,$22.56,$270.69,Su Mei Tseng,"San Jose, CA",(408) 922-0998,#49396928
Renters,95054,Ana,Christensen,05/06/1989,f,550 Moreland Way,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(877) 713-4583,amelia@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,5678,Mon,39.18,Martha Ag,Mtv,$15.63,$187.60,Stephen Larson,"Sacramento, CA",(916) 428-4520,#71282857
Renters,94086,Harper,Garza,03/27/1987,f,718 Old San Francisco Rd,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(415) 749-0101,sophie.garner@hotmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,5678,Tues,22.24,Patricia Ag,Redwood City,$21.05,$252.60,Qing Sun,"Artesia, CA",(562) 810-0500,#04771998
Renters,95125,Sebastian,Wheeler,03/03/1988,f,1776 Almaden Rd,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,1,(415) 885-3333,nicholas.watkins@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,5678,Tues,40.42,Patricia Ag,Mtv,$35.97,$431.64,Joe Angelini,"Half Moon Bay, CA",(650) 726-4818,#65105959
Renters,95054,Sebastien,Diaz,11/12/1990,m,502 Mansion Park Dr,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,1,(415) 580-6272,hadley.gardner@hotmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,5678,Mon,25.26,John Ag,Redwood City,$33.53,$402.37,William Ping,"Santa Clara, CA",(408) 985-2965,#59725796
Renters,95035,Reece,Hale,05/06/1989,f,555 S Park Victoria Dr,Milpitas,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,1,(760) 798-2632,nicholas.watkins@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,1234,Mon,39.18,John Ag,Cupertino,$25.58,$307.00,Roger Tuma,"Milpitas, CA",(408) 573-3820,#91990835
Renters,95112,Dylan,Harmon,02/04/1989,m,101 E San Fernando St 100,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,1,(760) 598-9000,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,1234,Tues,41.58,Patricia Ag,Redwood City,$18.77,$225.27,Michael O'Connor,"San Jose, CA",(408) 251-5102,#18063760
Renters,95126,Carter,Contreras,03/08/1990,f,1590 Southwest Expy,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,1,(650) 755-8133,hadley.gardner@hotmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,5678,Tues,21.01,Martha Ag,Cupertino,$29.86,$358.26,Dominik Caloiaro,"San Jose, CA",(408) 292-1112,#36302846
Renters,94086,Wyatt,Singh,05/06/1989,f,180 Pasito Terrace,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,1,(619) 233-4787,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,5678,Tues,36.70,Martha Ag,Cupertino,$28.75,$345.00,Richard So,"Santa Clara, CA",(408) 249-7726,#76537402
Renters,95125,Graham,Anderson,07/31/1988,m,3200 Rubino Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,2,(877) 396-9296,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,1234,Tues,43.10,John Ag,Cupertino,$41.37,$496.38,Vilai Yang,"Elk Grove, CA",(916) 684-9958,#09698664
Renters,94087,Lucas,Meyer,11/18/1989,m,575 E Remington Dr,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,2,(408) 437-1900,sophie.garner@hotmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,91011,Tues,15.74,Patricia Ag,Mtv,$37.75,$452.98,Rekha Agrawal,"Santa Clara, CA",(855) 468-8725,#41684503
Renters,95125,Hadley,Massey,11/18/1989,m,1776 Almaden Rd,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,2,(650) 288-4227,sophie.garner@hotmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,91011,Tues,39.18,Patricia Ag,Redwood City,$37.64,$451.70,Joe Angelini,"Half Moon Bay, CA",(650) 726-4818,#33631656
Renters,95037,Eliot,Maldonado,11/18/1989,m,15400 Vineyard Blvd,Morgan Hill,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,2,(408) 946-2955,sophie.garner@hotmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,5678,Mon,15.21,John Ag,Cupertino,$64.26,$771.10,Michael Dunne,"San Jose, CA",(408) 448-0136,#84093942
Renters,95051,Quinn,Frank,03/08/1990,f,101 Saratoga Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,2,(650) 352-3601,nicholas.watkins@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,1234,Sat,36.70,Patricia Ag,Cupertino,$26.83,$322.02,Sammy Lee,"San Jose, CA",(408) 247-8800,#15012518
Renters,94040,Eleanor,Black,06/06/1986,f,1200 Dale Ave,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,2,(415) 957-5887,amelia@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,91011,Mon,27.72,Martha Ag,Redwood City,$32.25,$387.02,Erich Stiegler,"Milpitas, CA",(408) 813-5348,#59379480
Renters,95128,Madeline,Turner,07/31/1988,f,500 S Winchester Blvd,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,3,(619) 233-4787,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,91011,Tues,38.05,John Ag,Redwood City,$71.94,$863.26,Michael Short,"San Jose, CA",(408) 466-6586,#95751610
Renters,94040,Sadie,Carey,02/04/1989,m,575 S Rengstorff Ave,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,3,(650) 557-4116,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,5678,Sat,30.41,Patricia Ag,Redwood City,$61.64,$739.73,Alex Wong,"Montebello, CA",(323) 212-3012,#38920482
Renters,95128,Dominick,Ferguson,12/1/1988,m,500 S Winchester Blvd,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,3,(415) 978-9619,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,5678,Mon,26.00,Patricia Ag,Cupertino,$65.46,$785.57,Michael Reen,"San Jose, CA",(408) 449-4839,#27468162
Renters,94040,Josiah,Chan,04/05/1990,m,575 S Rengstorff Ave,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,3,(619) 280-4988,jonah.bauer@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,1234,Tues,32.04,John Ag,Mtv,$56.59,$679.02,Alex Wong,"Montebello, CA",(323) 212-3012,#04670473
Renters,95014,Nolan,Webb,03/03/1988,m,5608 Stevens Creek Blvd,Cupertino,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,3,(650) 389-9367,nicholas.watkins@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,91011,Tues,23.91,John Ag,Cupertino,$46.67,$560.02,David Kelly,"Sacramento, CA",(916) 447-9797,#14387581
Renters,95037,Jonah,Conner,05/06/1989,f,16945 Del Monte Ave,Morgan Hill,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,3,(415) 861-3333,amelia@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,91011,Mon,19.97,John Ag,Cupertino,$98.76,"$1,185.07",Terry Haas,"San Jose, CA",(408) 371-7302,#46383093
Renters,95112,Ruby,Rose,12/1/1988,m,1700 N 1st St,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,4,(408) 271-2600,elise.parks@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,5678,Mon,17.71,Martha Ag,Cupertino,$79.59,$955.04,Timothy Shannon,"Pasadena, CA",(800) 999-5729,#25223999
Renters,95037,Evan,Ruiz,06/06/1986,m,15400 Vineyard Blvd,Morgan Hill,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,4,(619) 561-2320,elise.parks@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,5678,Tues,43.47,John Ag,Mtv,$91.09,"$1,093.07",Zainuddean Jeewanjee,"San Jose, CA",(408) 703-4900,#52407350
Renters,95134,Atticus,Kim,03/08/1990,f,345 Village Center Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,4,(858) 453-7368,luke.harrington@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,91011,Mon,41.58,John Ag,Redwood City,$63.96,$767.53,Alex Thu Nguyen,"Milpitas, CA",(408) 460-4855,#28943867
Renters,94040,Savannah,Ruiz,11/18/1989,f,1200 Dale Ave,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,4,(408) 225-8648,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,91011,Tues,23.91,Patricia Ag,Redwood City,$69.38,$832.53,Erich Stiegler,"Milpitas, CA",(408) 813-5348,#72361965
Renters,95014,Jacob,Sherman,04/05/1990,m,20800 Homestead Rd,Cupertino,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,4,(415) 749-0101,jonah.bauer@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,91011,Sat,19.82,Martha Ag,Cupertino,$58.34,$700.03,Chiu Ling Lin,"San Jose, CA",(408) 657-3919,#28002921
Renters,94043,Adelaide,Holloway,03/08/1990,f,555 W Middlefield Rd,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,4,(510) 540-5454,sophie.garner@hotmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,5678,Sat,15.21,John Ag,Mtv,$63.75,$765.03,Abraham Khalil,"Palo Alto, CA",(650) 321-1575,#48615554
